Y,X,site_no,category,note,perishability,location,extent,group,road_dist_m
10.549015,-66.989994,1,,,med,remote,small,,10
10.543535,-66.987934,2,,,med,remote,small,,10
10.536763,-66.981432,3,,mixed sources,med,populated,large,,190
10.533847,-66.983632,4,,mixed sources,med,populated,medium,,180
10.526221,-66.996785,5,,,med,remote,medium,quarry,110
10.526389,-66.994221,6,,,med,remote,large,quarry,100
10.524607,-66.999274,7,,,med,remote,medium,quarry,100
10.521115,-67.002386,8,,,med,remote,medium,quarry,410
10.496652,-66.994715,9,,low confidence,med,populated,small,,10
10.491947,-66.989404,10,,low confidence,med,populated,small,,150
10.490523,-66.988374,11,,low confidence,med,populated,small,,150
10.493675,-66.989761,12,,low confidence,med,populated,small,,30
10.493311,-66.988068,13,,low confidence,med,populated,large,,40
10.491451,-66.990536,14,,low confidence,med,populated,medium,,100
10.493593,-66.98662,15,,low confidence,med,populated,small,,70
10.494105,-66.979045,16,,low confidence,med,populated,medium,,130
10.493994,-66.977704,17,,low confidence,med,populated,medium,,130
10.493867,-66.978348,18,,low confidence,med,populated,medium,,140
10.502982,-67.000669,19,,low confidence,med,remote,medium,,340
10.500724,-66.998883,20,,low confidence,med,populated,medium,,100
10.500614,-66.995525,21,,low confidence,med,populated,medium,,60
10.503457,-66.997102,22,,low confidence,med,remote,small,,60
10.515788,-66.971101,23,,,high,populated,medium,,230
10.539321,-66.97522,24,,reactivation,high,populated,medium,,20
10.525799,-66.970339,25,,low confidence,med,populated,small,,0
10.523204,-66.966552,26,,,low,populated,medium,Trocha,70
10.6059214115604,-66.9894784454834,27,,,low,populated,small,Radiofaro,40
10.6083867598913,-66.9879029566093,28,,low confidence,low,populated,small,Radiofaro,30
10.6073224609696,-66.9860579441354,29,,,low,populated,small,Radiofaro,40
10.6091151185424,-66.986993072232,30,,,low,populated,medium,Radiofaro,40
10.6069355030248,-66.9799174296753,31,,low confidence,med,populated,small,,20
10.600988572101,-66.9704295311749,32,,,low,populated,small,,40
10.6115602356137,-67.0108517541189,33,,,low,populated,small,CRPV,30
10.6114176591315,-67.0126800878321,34,,,low,populated,small,CRPV,40
10.6113421774644,-67.0138710208013,35,,,low,populated,small,CRPV,30
10.6109855574854,-67.0096134163424,36,,,low,populated,small,CRPV,30
10.6106180810127,-67.0077017587904,37,,,high,populated,medium,CRPV,10
10.6077977550451,-67.0032556576178,38,,low confidence,low,populated,small,,50
10.6075650571276,-66.9940070206396,39,,,low,populated,medium,Radiofaro,40
10.608400903335,-66.9927590791617,40,,,low,populated,medium,Radiofaro,60
10.6059835490329,-67.0158688370256,41,,low confidence,low,populated,small,,10
10.5922803951153,-66.9878276454775,42,,,low,populated,small,,80
10.5910775252484,-66.9911201724854,43,,low confidence,,,,,10
10.5831764445766,-66.9537007182917,44,,head scarp,med,remote,medium,,150
10.6121574220604,-67.0194068969606,45,,low confidence,med,populated,small,CRPV,40
10.5886775887378,-67.0419405480437,46,,low confidence,,,,,130
10.5489113505176,-67.0082888098149,47,,,low,populated,small,,90
10.5620427895371,-67.0013417478408,48,,low confidence,low,remote,medium,"Túnel Boquerón I, II",50
10.5603892893273,-67.0006198614034,49,,,low,remote,small,"Túnel Boquerón I, II",40
10.562322836457,-67.0084232837692,50,,landslide dam potential,high,remote,medium,"Túnel Boquerón I, II",320
10.5606573780184,-67.0083564222991,51,,landslide dam potential,high,remote,small,"Túnel Boquerón I, II",350
