site_no,source,type,lat,lon,before_date,before_res_m
0,la-guaira_20260626_150535_17_3010,Point,10.54902,-66.98999,2025-02-20,0.34
1,la-guaira_20260626_150535_17_3010,Point,10.54354,-66.98793,2025-03-02,0.5
2,la-guaira_20260626_150535_17_3010,Point,10.53676,-66.98143,2025-03-02,0.5
3,la-guaira_20260626_150535_17_3010,Point,10.53385,-66.98363,2025-03-02,0.5
4,la-guaira_20260626_150535_17_3010,Point,10.52622,-66.99678,2025-03-02,0.5
5,la-guaira_20260626_150535_17_3010,Point,10.52639,-66.99422,2025-03-02,0.5
6,la-guaira_20260626_150535_17_3010,Point,10.52461,-66.99927,2025-03-02,0.5
7,la-guaira_20260626_150535_17_3010,Point,10.52112,-67.00239,2025-03-02,0.5
8,la-guaira_20260626_150535_17_3010,Polygon,10.52052,-66.99532,2025-03-02,0.5
9,la-guaira_20260626_150535_17_3010,Polygon,10.4909,-67.01972,2025-03-02,0.5
10,la-guaira_20260626_150535_17_3010,Polygon,10.49361,-67.02341,2025-01-31,0.5
11,la-guaira_20260626_150535_17_3010,Polygon,10.48546,-67.01515,2025-03-02,0.5
12,la-guaira_20260626_150535_17_3010,Polygon,10.49471,-66.99327,2025-03-02,0.5
13,la-guaira_20260626_150535_17_3010,Point,10.49665,-66.99472,2025-03-02,0.5
14,la-guaira_20260626_150535_17_3010,Polygon,10.49259,-66.98842,2025-03-02,0.5
15,la-guaira_20260626_150535_17_3010,Point,10.49195,-66.9894,2025-03-02,0.5
16,la-guaira_20260626_150535_17_3010,Point,10.49052,-66.98837,2025-03-02,0.5
17,la-guaira_20260626_150535_17_3010,Point,10.49368,-66.98976,2025-03-02,0.5
18,la-guaira_20260626_150535_17_3010,Point,10.49331,-66.98807,2025-03-02,0.5
19,la-guaira_20260626_150535_17_3010,Point,10.49145,-66.99054,2025-03-02,0.5
20,la-guaira_20260626_150535_17_3010,Point,10.49359,-66.98662,2025-03-02,0.5
21,la-guaira_20260626_150535_17_3010,Polygon,10.49181,-66.98353,2025-03-02,0.5
22,la-guaira_20260626_150535_17_3010,Point,10.4941,-66.97904,2025-03-02,0.5
23,la-guaira_20260626_150535_17_3010,Point,10.49399,-66.9777,2025-03-02,0.5
24,la-guaira_20260626_150535_17_3010,Point,10.49387,-66.97835,2025-03-02,0.5
25,la-guaira_20260626_150535_17_3010,Point,10.50298,-67.00067,2025-03-02,0.5
26,la-guaira_20260626_150535_17_3010,Point,10.50072,-66.99888,2025-03-02,0.5
27,la-guaira_20260626_150535_17_3010,Point,10.50061,-66.99552,2025-03-02,0.5
28,la-guaira_20260626_150535_17_3010,Point,10.50346,-66.9971,2025-03-02,0.5
29,la-guaira_20260626_150535_17_3010,Polygon,10.5019,-66.97837,2025-03-02,0.5
30,la-guaira_20260626_150535_17_3010,Polygon,10.49618,-66.97612,2025-03-02,0.5
31,la-guaira_20260626_150535_17_3010,Polygon,10.49884,-66.97677,2025-03-02,0.5
32,la-guaira_20260626_150535_17_3010,Polygon,10.49442,-66.97302,2025-03-02,0.5
33,la-guaira_20260626_150535_17_3010,Polygon,10.49624,-66.96224,2025-03-02,0.5
34,la-guaira_20260626_150535_17_3010,Polygon,10.49938,-66.94636,2025-03-02,0.5
35,la-guaira_20260626_150535_17_3010,Polygon,10.51375,-66.97066,2025-03-02,0.5
36,la-guaira_20260626_150535_17_3010,Point,10.51579,-66.9711,2025-03-02,0.5
37,la-guaira_20260626_150535_17_3010,Point,10.53932,-66.97522,2025-03-02,0.5
38,la-guaira_20260626_150535_17_3010,Polygon,10.52574,-66.96882,2025-03-02,0.5
39,la-guaira_20260626_150535_17_3010,Point,10.5258,-66.97034,2025-03-02,0.5
40,la-guaira_20260626_150535_17_3010,Point,10.5232,-66.96655,2025-03-02,0.5
41,la-guaira_20260626_150535_17_3010,Polygon,10.52401,-66.96397,2025-03-02,0.5
42,la-guaira_20260626_150535_17_3010,Polygon,10.52389,-66.96174,2025-03-02,0.5
43,la-guaira_20260626_150535_17_3010,Polygon,10.52083,-66.96204,2025-03-02,0.5
